,Unnamed: 0,budget,popularity,new release_date,new spoken_languages,new cast,new production_companies,new production_countries,new crew,new geners,new keywords,revenue,runtime,vote_average,vote_count
23,23,180000000.0,42.990906,12.0,4,2,2,2,81.95775641025642,12.243037961625754,3,372234864.0,113.0,5.8,1303.0
24,24,207000000.0,61.22601,14.0,1,2,2,3,76.25892857142857,18.66506230073678,2,550000000.0,187.0,6.6,2337.0
25,25,200000000.0,100.025899,22.0,6,4,2,1,142.3372916666667,18.796145441157172,4,1845034188.0,194.0,7.5,7562.0
26,26,250000000.0,198.372395,3.0,4,8,2,1,140.06491841491842,18.276385938369653,9,1153304495.0,147.0,7.1,7241.0
27,27,209000000.0,64.928382,7.0,2,1,1,1,95.04473684210527,24.39182092433785,3,303025485.0,131.0,5.5,2114.0
28,28,150000000.0,418.708552,4.0,1,1,3,1,130.528125,24.39182092433785,6,1513528810.0,124.0,6.5,8662.0
29,29,200000000.0,93.004993,7.0,1,2,1,2,44.59346833721833,18.32048613221531,4,1108561013.0,143.0,6.9,7604.0
30,30,200000000.0,35.149586,15.0,3,8,2,1,121.34845376845378,18.284440459224214,7,783766341.0,127.0,6.7,4321.0
31,31,200000000.0,77.68208,6.0,1,7,1,2,87.35264568764568,18.276385938369653,6,1215439994.0,130.0,6.8,8806.0
32,32,200000000.0,78.530105,9.0,1,3,3,1,83.05350854700855,18.276228539784213,2,1025491110.0,108.0,6.4,4645.0
33,33,210000000.0,3.857526,13.0,1,5,6,3,100.41150552663709,24.39182092433785,4,459359555.0,104.0,6.3,3525.0
34,34,200000000.0,89.186492,6.0,1,5,2,1,57.80851449275363,12.338670030213251,4,743559607.0,104.0,7.0,3528.0
35,35,150000000.0,21.939663,10.0,2,2,6,1,100.5335851966924,18.276385938369653,3,836297228.0,150.0,6.0,3138.0
36,36,210000000.0,116.840296,5.0,1,4,5,1,124.00881395486235,18.276385938369653,4,1091405097.0,165.0,5.8,3095.0
37,37,200000000.0,46.985445,6.0,1,1,2,1,49.3132264957265,18.276228539784213,3,491868548.0,130.0,5.7,3530.0
38,38,200000000.0,89.270217,5.0,1,4,2,1,65.62698412698413,18.284440459224214,4,705717432.0,142.0,6.5,4179.0
39,39,170000000.0,73.79505,9.0,1,2,2,1,80.31054112554114,18.276385938369653,5,400062763.0,125.0,6.3,2841.0
40,40,200000000.0,49.98659,8.0,4,6,2,1,59.29184782608695,24.460052107229686,4,559852396.0,106.0,5.8,2033.0
41,41,200000000.0,51.872839,8.0,1,1,3,1,53.48639619883041,24.39182092433785,3,219851172.0,114.0,5.1,2487.0
42,42,200000000.0,59.99541800000001,9.0,2,6,2,1,73.68018115942029,18.296403458581032,5,1066969703.0,103.0,7.6,4597.0
43,43,200000000.0,71.862892,10.0,2,2,2,4,134.49390442890444,18.228172275689197,7,371353001.0,115.0,5.9,2463.0
44,44,190000000.0,102.322217,4.0,1,2,3,2,78.12025123998808,6.041402497598462,2,1506249360.0,137.0,7.3,4176.0
45,45,200000000.0,81.834855,6.0,1,1,3,2,91.2145588235294,30.480577796376046,2,531865000.0,116.0,6.7,5560.0
46,46,250000000.0,118.078691,5.0,1,4,5,2,125.05350202429148,24.355775251346753,6,747862775.0,131.0,7.5,6032.0
47,47,190000000.0,78.29101800000002,6.0,1,2,3,1,93.21746031746032,18.276385938369653,6,467365246.0,132.0,7.4,4418.0
48,48,195000000.0,43.349855,6.0,1,3,5,1,72.8777694235589,18.153982388734022,0,197687603.0,114.0,5.5,2598.0
49,49,105000000.0,61.196071,6.0,1,1,2,2,60.756821705426354,12.680710455188976,4,351040419.0,143.0,7.3,3769.0
50,50,150000000.0,62.169881,9.0,1,2,2,1,70.09560173956396,24.505139759923527,1,335154643.0,116.0,6.2,2317.0
51,51,180000000.0,56.523205,6.0,1,1,2,2,44.87548872180451,18.276385938369653,4,407602906.0,131.0,6.7,4794.0
52,52,195000000.0,28.529607,8.0,1,5,2,1,81.19830741891462,18.276385938369653,1,1123746996.0,154.0,6.1,3299.0
53,53,185000000.0,75.674458,11.0,3,4,2,1,27.146729312354307,12.205051146247115,1,786636033.0,122.0,5.7,2495.0
54,54,175000000.0,51.692953,4.0,1,3,2,1,20.604347826086954,18.502318678861904,1,331926147.0,93.0,6.6,1736.0
55,55,185000000.0,125.114374,7.0,1,1,2,1,90.54583333333336,36.58084391780525,3,538983207.0,93.0,6.7,4641.0
56,56,185000000.0,65.352913,3.0,1,0,2,1,139.00555555555553,18.276385938369653,1,343471816.0,122.0,6.6,2568.0
57,57,180000000.0,66.390712,11.0,1,2,2,1,80.88851449275361,12.338670030213251,1,521311860.0,98.0,7.8,6296.0
58,58,140000000.0,22.57178,12.0,5,1,1,1,36.568299595141696,24.426315878377398,0,258022233.0,91.0,6.1,783.0
59,59,200000000.0,45.274225,10.0,9,4,2,2,105.2522727272727,18.276385938369653,0,769653595.0,158.0,5.6,4903.0
60,60,200000000.0,39.744242,10.0,1,3,1,1,6.5,12.765490606544455,5,325233863.0,96.0,6.6,1095.0
61,61,176000003.0,85.36908000000003,4.0,1,2,3,1,57.441456043956045,24.355775251346756,3,183987723.0,124.0,5.2,2768.0
62,62,180000000.0,42.741719,3.0,1,2,2,3,6.74,12.205051146247115,1,356743061.0,109.0,5.5,2430.0
63,63,180000000.0,67.391328,14.0,2,2,1,2,57.94161616161616,18.276228539784213,6,748806957.0,143.0,6.7,2629.0
64,64,178000000.0,139.272042,3.0,1,2,4,1,76.06754964333912,6.0713347921225385,5,543934787.0,144.0,6.4,4721.0
65,65,185000000.0,187.322927,11.0,2,5,4,2,112.03540542790542,24.92859360449928,4,1004558444.0,152.0,8.2,12002.0
66,66,175000000.0,92.201962,10.0,1,2,1,1,149.9835144927536,24.460052107229686,2,735099082.0,96.0,7.7,6870.0
67,67,175000000.0,36.167578000000006,10.0,1,2,1,1,11.785,24.573653470984443,2,381509870.0,94.0,6.0,1423.0
68,68,140000000.0,120.725053,11.0,4,7,1,1,56.65920830631357,18.276385938369653,4,585174222.0,126.0,7.4,8776.0
69,69,170000000.0,32.319043,8.0,1,2,2,3,115.79904761904761,18.656850381296778,4,185770160.0,126.0,7.0,2141.0
70,70,170000000.0,40.748915,20.0,1,2,1,1,18.644444444444446,30.64245270007077,0,222104681.0,106.0,5.1,1020.0
71,71,145000000.0,60.034162,11.0,3,0,3,2,35.06658361018827,18.284440459224214,0,401128639.0,112.0,5.2,1387.0
72,72,175000000.0,90.23792,3.0,1,3,5,1,61.11560651629072,30.66752021778971,1,745000000.0,123.0,5.9,7458.0
73,73,175000000.0,27.082182,12.0,1,4,6,1,90.07862508836193,18.07031331950334,5,173000000.0,96.0,5.3,1151.0
74,74,178000000.0,79.456485,5.0,1,3,4,2,130.98163059163056,12.112737289721,4,370541256.0,113.0,7.6,4858.0
75,75,175000000.0,44.640292,24.0,3,2,2,1,67.49652378693413,12.205051146247115,2,264218220.0,135.0,5.9,992.0
76,76,175000000.0,32.852443,10.0,3,2,3,2,41.734660533265185,24.39182092433785,8,302469017.0,118.0,5.6,1962.0
77,77,175000000.0,128.65596399999998,4.0,1,2,2,1,74.08018115942029,24.756414613070696,5,857611174.0,94.0,8.0,6560.0
78,78,175000000.0,94.199316,3.0,1,4,2,2,59.35508935508937,24.736239694273877,4,966550600.0,106.0,6.7,2892.0
79,79,200000000.0,77.30019399999998,9.0,3,7,1,1,85.68371227456753,18.276385938369653,5,623933331.0,124.0,6.6,6849.0
80,80,170000000.0,77.178973,7.0,1,3,2,1,73.86808823529411,18.70304911611542,2,396600000.0,127.0,5.8,3118.0
81,81,180000000.0,110.620647,5.0,1,1,2,1,38.93404761904762,30.538330338081987,1,758539785.0,97.0,7.0,4496.0
82,82,170000000.0,243.79174300000003,5.0,1,2,2,1,85.28595238095237,24.688183430178864,5,710644566.0,130.0,7.3,4410.0
83,83,27000000.0,2.418535,4.0,1,0,0,3,70.11499999999998,24.497085239068966,0,0.0,109.0,4.8,34.0
84,84,175000000.0,41.796339,6.0,2,1,1,1,54.52511562998404,24.744451613713878,3,150962475.0,119.0,5.9,1326.0
85,85,170000000.0,72.22526500000002,5.0,1,5,1,1,81.04741841491841,18.276385938369653,7,714766572.0,136.0,7.6,5764.0
86,86,165000000.0,44.041186,9.0,1,5,1,1,12.260000000000002,30.539441420206785,1,752600867.0,93.0,6.0,1959.0
87,87,190000000.0,130.311355,4.0,1,2,1,1,72.39305555555556,24.54406054375235,1,209154322.0,130.0,6.2,2846.0
88,88,165000000.0,203.73459,5.0,1,4,1,1,87.41934782608696,30.501454604828147,7,652105443.0,102.0,7.8,6135.0
89,89,165000000.0,62.341073,7.0,1,3,0,1,77.36934782608695,24.460052107229686,2,471222889.0,108.0,7.1,4570.0
90,90,165000000.0,47.323228,15.0,1,1,2,1,198.39419968919975,24.581707991839004,2,305875730.0,100.0,6.4,1474.0
91,91,165000000.0,48.775723,3.0,1,1,3,1,58.83787296037296,18.276385938369653,0,389681935.0,120.0,4.9,2491.0
92,92,165000000.0,67.263269,9.0,1,3,2,1,97.15127450980393,24.581707991839004,4,494878759.0,98.0,7.5,4227.0
93,93,200000000.0,69.405188,16.0,1,1,3,3,172.73486820197348,18.228172275689197,3,435000000.0,109.0,5.9,2143.0
94,94,170000000.0,481.098624,5.0,1,3,3,2,80.82741841491841,18.276385938369653,5,773328629.0,121.0,7.9,9742.0
95,95,165000000.0,724.247784,5.0,1,4,3,3,111.99719114219114,18.69499459526086,11,675120017.0,169.0,8.1,10867.0
96,96,160000000.0,167.58371,9.0,3,2,2,2,41.501357808857804,30.66770744916055,2,825532764.0,148.0,8.1,13752.0
97,97,15000000.0,9.476999,3.0,4,0,0,1,65.0,30.5287914590565,1,77000000.0,120.0,6.5,143.0
98,98,250000000.0,108.849621,7.0,1,1,3,2,112.56003968253967,18.284440459224214,0,1021103568.0,169.0,7.0,8297.0
99,99,38000000.0,6.909942,18.0,1,0,2,2,99.20129538963688,18.468582450009617,4,207283925.0,106.0,6.6,3428.0
100,100,150000000.0,60.269279,11.0,1,3,3,1,76.7936553030303,31.151421278956974,2,333932083.0,166.0,7.3,3292.0
101,101,160000000.0,3.195174,8.0,5,4,8,1,51.227851841141316,18.276385938369653,5,353624124.0,132.0,7.1,5181.0
102,102,160000000.0,127.284427,4.0,1,8,2,2,139.62478991596637,18.276385938369653,3,653428261.0,137.0,6.6,3984.0
103,103,150000000.0,35.580815,9.0,1,2,3,1,6.2444444444444445,30.70218504208166,6,215283742.0,109.0,5.8,1470.0
104,104,160000000.0,21.133748,13.0,2,0,1,1,98.16397852663334,24.780497286704975,6,181674817.0,99.0,5.5,583.0
105,105,170000000.0,56.268916,3.0,1,5,3,2,76.59944871794873,6.079389312977101,3,299370084.0,113.0,6.5,1725.0
106,106,160000000.0,42.986467,12.0,1,4,2,1,37.398863636363636,30.539441420206785,5,798958165.0,93.0,6.0,2278.0
107,107,160000000.0,63.148529,3.0,1,0,3,4,113.30216666666665,18.284440459224214,4,433677183.0,123.0,6.3,2268.0
108,108,155000000.0,202.042635,4.0,1,2,2,1,86.68285192520656,24.39182092433785,8,440603537.0,126.0,5.8,3631.0
109,109,155000000.0,49.661984,9.0,1,1,3,1,76.13515227462597,18.276228539784213,2,415686217.0,113.0,6.2,1514.0
110,110,140000000.0,34.20669,18.0,3,7,2,1,128.35187771769714,19.646788722727663,5,449220945.0,183.0,6.6,1791.0
111,111,150000000.0,25.468493,12.0,2,2,6,1,101.15327301918983,18.276385938369653,3,709709780.0,144.0,6.6,4040.0
112,112,155000000.0,39.019229,15.0,1,5,3,6,242.5392214462963,38.31185102346444,0,167298192.0,175.0,5.6,927.0
113,113,150000000.0,78.14439499999997,12.0,1,5,2,2,21.04119047619048,24.552115064606912,3,938212738.0,138.0,7.4,5494.0
114,114,150000000.0,101.250416,14.0,2,5,2,2,62.88908730158731,18.276228539784213,4,895921036.0,157.0,7.5,5608.0
115,115,150000000.0,56.758411,11.0,2,3,3,1,75.92108225108225,12.120791810575563,4,624029371.0,92.0,6.2,2961.0
116,116,150000000.0,70.867401,12.0,1,1,5,1,70.26934242657927,30.480577796376046,3,585349010.0,101.0,6.9,4853.0
117,117,150000000.0,53.90559200000001,14.0,1,1,4,3,150.99630921855916,24.233961968151995,5,474968763.0,115.0,6.7,3624.0
118,118,150000000.0,65.677399,12.0,1,1,2,1,87.25851449275363,24.37579277155813,3,623722818.0,111.0,7.5,4369.0
119,119,150000000.0,115.040024,14.0,3,6,4,2,141.85941183816186,18.813158618531084,8,374218673.0,140.0,7.5,7359.0
120,120,150000000.0,44.141021,11.0,3,3,1,1,12.815000000000001,12.338670030213251,5,603900354.0,89.0,6.2,1810.0
121,121,150000000.0,81.781591,10.0,1,7,5,2,24.488235294117647,30.275364465750457,1,413106170.0,105.0,5.9,1971.0
122,122,150000000.0,5.9543339999999985,10.0,1,3,7,1,25.20380116959064,24.39182092433785,7,373062864.0,107.0,6.2,4021.0
123,123,150000000.0,73.313918,16.0,2,2,4,2,39.15765241702742,24.39182092433785,12,424988211.0,129.0,6.4,3096.0
124,124,150000000.0,165.125366,6.0,1,2,1,1,77.63434782608695,18.502318678861904,6,1274219009.0,102.0,7.3,5295.0
125,125,150000000.0,70.78591,16.0,1,2,4,2,39.15765241702742,24.39182092433785,12,738599701.0,138.0,6.7,3443.0
126,126,170000000.0,99.499595,6.0,1,3,1,1,94.08835275835274,18.284440459224214,6,644571402.0,112.0,6.8,4755.0
127,127,150000000.0,434.278564,4.0,1,1,2,2,109.57803965414432,24.39182092433785,6,378858340.0,120.0,7.2,9427.0
128,128,150000000.0,67.447636,10.0,6,3,2,2,162.6403701677386,12.391321510790895,2,356613439.0,138.0,6.5,2129.0
129,129,150000000.0,86.493424,8.0,1,4,1,1,59.40551783012309,18.284440459224214,5,449326618.0,115.0,6.6,6525.0
130,130,150000000.0,41.845878000000006,11.0,1,1,0,1,143.99934782608696,24.460052107229686,1,309979994.0,98.0,6.3,1750.0
131,131,150000000.0,26.710398,10.0,1,3,2,1,22.54444444444444,30.275364465750457,1,292817841.0,88.0,5.1,510.0
132,132,150000000.0,44.927635,7.0,1,3,2,2,54.868464912280714,6.163648648648653,1,301000000.0,99.0,5.5,1431.0
133,133,150000000.0,50.306728,7.0,1,2,4,2,62.93924572649572,12.037122741344882,3,245527149.0,113.0,5.7,2320.0
134,134,150000000.0,114.52223700000002,4.0,3,3,3,2,97.98067099567098,18.32048613221531,5,682330139.0,131.0,7.1,3224.0
135,135,150000000.0,21.214571,9.0,1,1,2,1,77.56763394500236,18.367840506655046,2,0.0,102.0,5.5,549.0
136,136,150000000.0,29.332905,12.0,1,4,1,1,30.083333333333332,24.460052107229686,3,287594577.0,91.0,5.7,1171.0
137,137,150000000.0,51.247321,8.0,1,5,1,1,47.405,12.338670030213251,3,665692281.0,91.0,6.7,1880.0
138,138,150000000.0,33.769336,9.0,1,0,3,1,5.858823529411765,24.317631037382675,2,318502923.0,103.0,4.7,1151.0
139,139,150000000.0,63.079003,13.0,6,4,3,3,26.18846153846154,18.32048613221531,9,397850012.0,126.0,6.5,2028.0
140,140,150000000.0,39.004588,6.0,1,4,2,1,69.59794871794873,18.616848638056325,2,205366737.0,131.0,6.4,1891.0
141,141,150000000.0,12.362599,8.0,1,1,0,1,6.033333333333334,18.502318678861904,3,38992758.0,88.0,5.5,199.0
142,142,149000000.0,22.550135,13.0,1,3,1,2,51.18333333333333,24.460052107229686,2,64459316.0,85.0,6.0,874.0
143,143,150000000.0,48.03528,4.0,1,1,3,1,51.306666666666665,18.276228539784213,1,128388320.0,111.0,5.9,954.0
144,144,145000000.0,38.73494,5.0,1,2,1,1,25.37142857142857,18.502318678861904,6,272912430.0,92.0,6.7,843.0
145,145,175000000.0,66.803149,15.0,1,4,2,3,120.62783882783883,19.320606368023814,2,497409852.0,163.0,6.9,2759.0
146,146,145000000.0,44.989192,7.0,3,2,1,1,31.741666666666667,12.338670030213251,1,746921274.0,93.0,6.4,1808.0
147,147,140000000.0,54.159392,17.0,7,2,1,2,24.75807692307692,18.32048613221531,0,431971116.0,133.0,5.8,1092.0
148,148,144000000.0,66.21806,3.0,1,4,3,1,108.88571151071149,18.078525238943342,1,229147509.0,116.0,5.3,2142.0
149,149,140000000.0,58.485967,21.0,2,9,2,1,100.81367805186594,24.39182092433785,8,553799566.0,151.0,6.4,2482.0
150,150,140000000.0,91.332849,17.0,1,3,3,1,136.69960558821023,24.234119366737435,5,441818803.0,88.0,6.0,3114.0
151,151,70000000.0,35.60166500000001,12.0,1,4,3,1,87.86517078324911,18.510530598301905,1,195735876.0,115.0,5.5,841.0
152,152,145000000.0,56.747978,3.0,1,5,2,2,92.89333333333336,30.501454604828147,3,521170825.0,95.0,6.7,1603.0
153,153,145000000.0,77.77476999999998,8.0,5,3,4,3,129.48069597069596,18.32048613221531,5,694713380.0,133.0,6.8,3972.0
154,154,145000000.0,61.788035,7.0,2,3,1,1,27.725,18.41805934319035,3,306941670.0,97.0,7.1,1922.0
155,155,100000000.0,25.159168,14.0,1,3,2,1,79.31671762259998,5.957733428367781,2,202026112.0,90.0,5.9,627.0
156,156,140000000.0,52.341226,16.0,2,1,3,3,79.02909645909645,25.927503074116476,1,456758981.0,154.0,7.3,1895.0
157,157,140000000.0,101.599427,5.0,1,4,1,3,92.54543335990701,18.66506230073678,1,268031828.0,150.0,5.6,1921.0
158,158,150000000.0,73.61680799999998,10.0,1,1,3,2,60.11150793650794,18.276385938369653,1,385680446.0,127.0,7.4,4518.0
159,159,139000000.0,82.502566,17.0,1,7,2,1,135.77409951159953,12.120791810575563,2,821708551.0,121.0,6.8,5265.0
160,160,145000000.0,100.21391,5.0,1,4,1,1,100.69460784313725,36.58084391780525,5,609123048.0,102.0,7.6,3106.0
161,161,140000000.0,56.257249,3.0,1,2,1,2,49.42155982905983,6.079389312977101,4,150680864.0,127.0,5.3,1277.0
162,162,135000000.0,17.88953,14.0,5,1,3,1,71.54277234461445,6.041402497598462,2,76932943.0,121.0,4.9,331.0
163,163,130000000.0,64.798873,10.0,1,1,5,1,50.35712301587301,18.3886238145437,3,185258983.0,163.0,7.0,2811.0
164,164,140000000.0,24.855701,21.0,3,2,2,1,105.00088245088247,30.58996452702605,0,285444603.0,127.0,6.3,767.0
165,165,137000000.0,34.981698,16.0,2,1,3,1,150.52125968475974,18.572748444210667,10,245360480.0,138.0,5.3,1533.0
166,166,130000000.0,59.325589,6.0,1,3,4,1,73.23586932447398,24.39182092433785,6,371876278.0,110.0,5.4,3025.0
167,167,130000000.0,21.605568,14.0,3,3,2,4,180.64223491420856,30.89868225392726,0,119269486.0,124.0,5.7,434.0
168,168,137000000.0,26.074908,18.0,1,6,1,2,28.950000000000003,36.77668968936974,4,85131830.0,106.0,5.9,433.0
169,169,140000000.0,74.50624599999998,8.0,3,5,1,1,145.44867439577962,18.276385938369653,9,370569774.0,124.0,6.6,7047.0
170,170,135000000.0,39.604363,20.0,2,2,2,2,43.95740231990232,18.32048613221531,1,361832400.0,128.0,6.0,862.0
171,171,150000000.0,36.973031,16.0,3,2,3,1,188.99406252244492,6.163648648648653,0,212011111.0,138.0,6.9,790.0
172,172,120000000.0,99.687084,7.0,1,1,3,1,56.22136752136752,24.923748416814732,1,829000000.0,115.0,6.1,2553.0
173,173,130000000.0,17.7735,8.0,1,3,2,1,60.54455128205128,18.296403458581032,3,150406466.0,100.0,5.8,373.0
174,174,150000000.0,62.898336,11.0,3,3,2,1,38.58491841491841,18.276385938369653,4,163712074.0,114.0,6.1,3021.0
175,175,140000000.0,44.19092,3.0,1,1,5,2,52.50827034485121,18.276228539784213,4,183345589.0,120.0,6.0,1000.0
176,176,135000000.0,100.635882,4.0,2,1,4,4,100.22019841269841,25.147428122439848,7,532950503.0,156.0,7.3,6396.0
177,177,135000000.0,44.765377,6.0,1,6,1,1,18.33,12.338670030213251,2,282570682.0,96.0,6.1,1074.0
178,178,135000000.0,29.91353,8.0,1,4,4,1,32.434999999999995,30.86838544056302,1,245724603.0,107.0,6.6,2051.0
179,179,132000000.0,84.366984,5.0,1,2,1,1,12.440000000000001,24.460052107229686,1,373552094.0,92.0,6.5,1346.0
180,180,70000000.0,45.381501,12.0,5,1,2,2,221.33217384004888,24.892735162879024,11,442824138.0,115.0,7.3,2888.0
181,181,130000000.0,84.68964799999998,11.0,1,4,1,1,14.15,24.460052107229686,2,631744560.0,90.0,6.9,3145.0
182,182,130000000.0,120.09361,4.0,1,5,1,1,160.9127480852481,18.276385938369653,6,519311965.0,117.0,7.0,5880.0
183,183,130000000.0,76.310119,6.0,1,7,1,1,119.94072398190048,18.276385938369653,13,847423452.0,146.0,7.4,6495.0
184,184,135000000.0,63.473086,4.0,1,0,2,1,67.00333333333333,30.44712756368067,3,368871007.0,94.0,6.8,1519.0
185,185,132000000.0,48.572726,14.0,1,3,4,1,103.60387945387947,18.350418426739388,3,591739379.0,116.0,6.2,2322.0
186,186,130000000.0,38.068736,16.0,2,3,1,1,155.19075226863723,30.58996452702605,5,273339556.0,147.0,6.3,1564.0
187,187,130000000.0,20.678787,8.0,2,3,0,1,57.81219696969696,30.623110489437465,0,554987477.0,90.0,6.4,451.0
188,188,110000000.0,48.829437,9.0,3,2,3,1,25.084000000000003,18.432724008389357,7,293329073.0,100.0,6.2,2093.0
189,189,125000000.0,46.115758,5.0,1,2,2,1,89.13075653564806,12.623659803138318,1,362637473.0,139.0,5.6,2350.0
190,190,130000000.0,89.938296,8.0,1,1,6,2,94.123445998446,18.745014625526142,1,371940071.0,107.0,6.7,2061.0
191,191,130000000.0,79.679601,15.0,1,2,2,2,170.27674585218702,18.276228539784213,4,789804554.0,141.0,7.7,5877.0
192,192,130000000.0,28.840997,11.0,2,2,3,3,84.4062661498708,6.460011154489665,2,49554002.0,165.0,6.3,694.0
193,193,130000000.0,42.840582,6.0,1,1,2,1,48.51426044543692,18.276385938369653,1,243843127.0,100.0,5.0,2532.0
194,194,127500000.0,26.548594,19.0,1,0,2,1,45.001304347826085,12.338670030213251,1,354248063.0,82.0,6.2,542.0
195,195,127000000.0,115.597753,5.0,1,5,5,2,79.61237044817926,24.233961968151995,0,349424282.0,97.0,6.1,1851.0
196,196,130000000.0,68.757242,9.0,1,7,1,1,31.48708791208791,30.409140748302033,5,321887208.0,95.0,6.7,1918.0
197,197,125000000.0,109.984351,18.0,1,1,3,2,187.5484469800066,18.276228539784213,3,976475550.0,152.0,7.5,7006.0
198,198,130000000.0,39.448066,6.0,1,2,2,1,64.07447368421053,24.3902702053863,2,61648500.0,96.0,5.4,1260.0
199,199,140000000.0,271.972889,16.0,1,2,2,1,108.65085598467286,18.284440459224214,2,655011224.0,143.0,7.5,6985.0
200,200,125000000.0,206.227151,5.0,1,7,1,1,74.30764705882352,18.350418426739388,5,752100229.0,123.0,6.6,5584.0
201,201,125000000.0,45.313197,13.0,4,3,2,4,179.1496504196504,12.391321510790895,3,767820459.0,149.0,6.5,2704.0
202,202,103000000.0,42.40024,5.0,2,2,2,1,31.950833333333335,24.460052107229686,2,500188435.0,102.0,6.3,978.0
203,203,110000000.0,2.871739,16.0,3,5,4,1,38.66866685945634,24.39182092433785,4,407711549.0,133.0,6.8,3506.0
204,204,125000000.0,7.255717999999999,8.0,4,1,2,1,92.58452862926545,18.468582450009617,5,626137675.0,130.0,7.1,2438.0
205,205,125000000.0,81.49962099999998,8.0,1,2,3,1,65.8928286990787,24.792682637512772,0,334615000.0,129.0,7.0,3886.0
206,206,125000000.0,47.686442,9.0,1,3,3,1,117.74633121264696,18.284440459224214,1,232713139.0,106.0,5.6,2233.0
207,207,65000000.0,43.129703000000006,29.0,1,1,2,1,53.8313492063492,18.276385938369653,3,261317921.0,113.0,7.1,1710.0
208,208,160000000.0,27.220157,20.0,2,1,1,1,55.671031746031744,18.284440459224214,3,61698899.0,102.0,6.4,510.0
209,209,130000000.0,90.33681,7.0,2,1,4,1,69.8254452614379,12.156837483566658,1,276572938.0,120.0,6.0,2651.0
210,210,125000000.0,50.073575,22.0,1,2,2,2,84.05526785714287,18.43253677701852,1,238207122.0,125.0,4.2,1418.0
211,211,123000000.0,45.419668,19.0,1,2,2,2,32.58118888118888,18.07031331950334,2,345141403.0,104.0,6.2,1386.0
212,212,125000000.0,41.380094,15.0,5,1,4,1,198.3198917748917,24.39182092433785,4,544272402.0,124.0,6.2,2392.0
213,213,125000000.0,54.931334,19.0,1,4,2,2,130.15058996558997,18.32048613221531,8,546388105.0,123.0,5.9,1928.0
214,214,120000000.0,25.752118,19.0,1,4,1,1,31.71057692307693,6.460011154489665,0,325756637.0,130.0,6.2,597.0
